Priority,Fit (1-5),Company,Segment,HQ,Est. Premium / GWP (yr),Primary Lines of Business,Legacy / Core-System Signal,Trigger — Why Now,Existing Decerto Relationship,Buying Committee (contact pass),Source,Contact (enriched),Signal (enriched),Fit (re-scored),Priority (re-scored),Outreach accelerant
High,5,Merchants Insurance Group,Mid-Tier P&C,"Buffalo, NY",~$516M DWP (FY2023),Commercial P&C; personal auto & home,Confirmed in-house COBOL/mainframe core (active COBOL developer job postings),Just crossed $500M floor; actively hiring COBOL staff = no modern PAS in place,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,Merchants Annual Profile; job postings,,"Stephen Cross, VP & CIO",Confirmed COBOL/mainframe; window open - strongest clean Fit-5,5,High,
High,5,North Carolina Farm Bureau Mutual,Mid-Tier P&C,"Raleigh, NC",$1.42B DWP (FY2022),"Personal auto, home, farm, WC, umbrella",Aging COBOL/mainframe being rebuilt in-house to Java/.NET; no packaged vendor,Risky bespoke modernization underway = displacement window for a packaged core,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,NC DOI exam; NCFB careers,,"Jeannette Johnson, VP IT",Risky in-house rebuild = displacement window,5,High,
Pass,5,Shelter Insurance (Shelter Mutual),Mid-Tier P&C,"Columbia, MO",~$2.83B net DWP (2024),"Personal auto, home, farm, commercial",Recruiting COBOL/mainframe engineers; no completed modern replacement,New D2C auto strategy straining aging back-end systems,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,Shelter 2024 Annual Report; job postings,,"John Rooney, VP Tech Strategy",LOST: selected Guidewire core Dec 2024 (PwC) - window closed,1,Pass,
High,5,Builders Mutual Insurance,Mid-Tier P&C,"Raleigh, NC",~$545M DWP (FY2023),"WC (construction trades), commercial multi-peril, builders' risk","On-prem, multi-vendor legacy apps at own data center",Southeast contractor growth running on aging on-prem stack,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,NC DOI exam; Builders Mutual AR,,"Mike Gerber, CEO (Head of IT role OPEN)",Open Head of IT req = live buying trigger,5,High,New/open IT leadership = timing trigger
High,4,NYCM Insurance,Mid-Tier P&C,"Edmeston, NY","~$750M-$1B DWP (est., 2024)","Personal auto & homeowners (NY), commercial",Aging homegrown core (~13+ yrs); no vendor migration signal,Digital front-end bolted onto an aging core,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,AM Best; NY DFS exam,,"Cheryl Robinson, CEO (no public CIO)",IT lead not public - enrich via Apollo/LinkedIn,4,High,
High,4,Utica National Insurance Group,Mid-Tier P&C,"New Hartford, NY",~$1.3-$1.5B DWP (est.),"Commercial P&C (package, auto, WC), personal",Persistent mainframe + narrow 2017 Duck Creek project (5 lines/17 states),Large un-modernized remainder beyond the old partial project,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,Insurance Journal 2017,,"Samuel J. Gourley, SVP & CIO",,4,High,
High,4,The MEMIC Group,Mid-Tier P&C,"Portland, ME",~$600M combined (2025),Monoline workers' comp (46 states + DC),Runs DXC 'POINT IN' legacy PAS + DXC BPS,Multi-state expansion + 2025 Dakota Group acquisition integration,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,MEMIC Quick Facts; DXC case study,,"Matt Coy, CIO (new Jan 2026)",New CIO from a modernization role = mandate signal,4,High,New/open IT leadership = timing trigger
High,4,Tower Hill Insurance Exchange,Mid-Tier P&C,"Gainesville, FL",~$917M DWP (FY2023),"FL personal residential, dwelling fire, condo, flood",In-house/homegrown admin (hiring core software engineers),~$1B FL carrier with no packaged modern core detected,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,THIG 2023 Annual Report,,"Andres DeBedout, CIO; Ralph Kubicsek, CTO",,4,High,
High,4,Pinnacol Assurance,Mid-Tier P&C,"Denver, CO",~$535M DWP (FY2024),Monoline workers' comp (Colorado's largest),No confirmed modern PAS; likely aging core,Right-sized WC monoline with an open core decision,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,CO audited statutory statements,,No public IT CIO,IT lead not public - enrich via Apollo/LinkedIn,4,High,
High,4,"Employers Holdings (EMPLOYERS, EIG)",Mid-Tier P&C,"Reno, NV",~$755M GWP (FY2025),Small-business workers' comp,Proprietary/internal systems; no Guidewire/Duck Creek lock-in,Folded Cerity digital arm into core ops (2023); modernizing incrementally,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,EIG 2025 10-K (SEC),,"Richard P. Hallman, EVP & CIO",,4,High,
High,4,Universal Insurance Holdings (UVE),Mid-Tier P&C,"Fort Lauderdale, FL",~$2.07B DWP (FY2024),Personal residential homeowners (FL + ~18 states),Vertically integrated; likely homegrown admin. Heavy layered cat XOL / ceded tracking,No modern-core evidence AND reinsurance-heavy (dual pain point),CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,UVE Q4 2024 results,,"Kim Cooper Campos, CIO & CAO",,4,High,
High,4,Pekin Insurance (Farmers Automobile Ins.),Mid-Tier P&C,"Pekin, IL",~$566M DWP (2024),"Commercial, personal auto/property, umbrella, life",No modern-core signal; older regional mutual,"Smaller mutual, likely legacy PAS — strong if confirmed",CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,FAIA 2024 Annual Report,,"Amy Bingham, VP IT & CIO",Has led modernization initiatives,4,High,
High,4,Kemper Corporation (KMPR),Mid-Tier P&C,"Chicago, IL",~$3.58B specialty P&C EP (FY2024),"Specialty/nonstandard auto, commercial auto",Acquisition-driven legacy system sprawl (multiple acquired PAS),Multiple legacy/acquired systems ripe for consolidation,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,KMPR Q4 2024 earnings,,"Kelly Coomer, EVP & CIO (new); William Awad, CTO",New CIO May 2026 = modernization signal,4,High,New/open IT leadership = timing trigger
Medium,3,Tennessee Farmers Mutual,Mid-Tier P&C,"Columbia, TN",~$2.05B DWP (2024),"Personal auto, home, farm, small commercial",No modern-core signal found (verify),"Right-sized ~$2B, strong surplus, plausible aging PAS",CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,NAIC 2024 P&C Market Share,,,,3,Medium,
Medium,3,Frankenmuth Insurance,Mid-Tier P&C,"Frankenmuth, MI",~$600-$700M (est.),"Personal, commercial, WC, surety, life",No Guidewire/Duck Creek signal,Mid-size regional; confirm premium + core in discovery,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,fmins.com; premium est.,,,,3,Medium,
